Authority code,Authority nice name,Library service,Period,Members,Events,Attendance,Issues,Visits,Computer hours,Wifi sessions,Population under 12,Population 12-17,Population adult
E08000007,Stockport,Stockport,2023-04-01/P1Y,23189,2043,37244,1000552,588419,50439,0,42460,22450,239019
E06000004,Stockton-on-Tees,Stockton-On-Tees,2023-04-01/P1Y,15277,0,0,363785,394670,33331,0,28541,16538,161721
E06000021,Stoke-on-Trent,Stoke-On-Trent Libraries,2023-04-01/P1Y,16763,0,0,285632,249503,41550,16552,41194,21326,207905
E10000029,Suffolk,Suffolk Libraries,2023-04-01/P1Y,0,12491,400487,3239746,1817765,129404,35220,97657,54598,633976
E08000024,Sunderland,Sunderland,2023-04-01/P1Y,6191,912,8320,157263,7010,0,0,36496,20274,231836
E10000030,Surrey,Surrey,2023-04-01/P1Y,184421,10481,226700,4625740,2583389,146839,1053219,171156,98183,979310
E06000030,Swindon,Swindon Library & Information Service,2023-04-01/P1Y,14366,0,0,393810,270489,23223,0,35388,18856,189631
E08000008,Tameside,Tameside Mbc,2023-04-01/P1Y,14742,1439,57858,445081,436881,49980,0,34128,18773,186742
E06000020,Telford and Wrekin,Telford & Wrekin Libraries,2023-04-01/P1Y,11281,223,2506,197224,0,16079,0,28447,15801,151704
E06000034,Thurrock,Thurrock,2023-04-01/P1Y,19420,0,0,269676,525481,23836,0,30700,15571,134718
E06000027,Torbay,Torbay Council,2023-04-01/P1Y,16278,0,0,321838,325506,22525,17262,15410,9401,115315
E09000030,Tower Hamlets,Tower Hamlets,2023-04-01/P1Y,23906,16176,61393,816591,1349109,61550,0,42349,20724,268813
E09000026,Redbridge,Vision Redbridge Culture & Leisure,2023-04-01/P1Y,29207,1789,46971,1481344,1145780,100138,0,52135,26036,243060
E08000036,Wakefield,Wakefield,2023-04-01/P1Y,31187,6418,83225,637394,760411,60049,43958,50917,26564,290185
E08000030,Walsall,Walsall Libraries,2023-04-01/P1Y,31773,2157,35113,288416,363354,60362,0,47135,24664,223879
E09000032,Wandsworth,Wandsworth Libraries,2023-04-01/P1Y,37353,3649,34350,1432209,1156903,111036,95921,40634,18096,278925
E06000007,Warrington,Warrington Borough Council (Livewire),2023-04-01/P1Y,16992,2586,26394,241656,467595,9973,0,28387,16412,170592
E10000031,Warwickshire,Warwickshire,2023-04-01/P1Y,58754,2825,17662,1637215,1102667,3405995,237852,84246,45146,502815
E06000037,West Berkshire,West Berkshire Libraries,2023-04-01/P1Y,14861,98,0,523540,311202,13136,0,21720,13775,129617
E10000032,West Sussex,West Sussex Library Service,2023-04-01/P1Y,145312,0,86025,1933714,2132816,122506,0,116220,65723,733094
E09000033,Westminster,Westminster,2023-04-01/P1Y,34326,0,0,683185,1455280,93355,0,19681,10153,180162
E06000064,Westmorland and Furness,Westmorland & Furness,2023-04-01/P1Y,17670,0,57546,577728,327359,19820,127784,24441,14712,191032
E08000010,Wigan,Wigan Local Studies (00073),2023-04-01/P1Y,7961,0,0,256809,414988,40101,0,46723,24974,273225
E06000054,Wiltshire,Wiltshire,2023-04-01/P1Y,50434,6745,129096,1617323,1296050,52237,0,65718,38483,419499
E08000015,Wirral,Wirral,2023-04-01/P1Y,18152,994,23094,595206,408375,15909,0,42083,24140,262650
E08000031,Wolverhampton,Wolverhampton Libraries & Information,2023-04-01/P1Y,21162,2282,394,508818,439225,36792,157750,44977,23428,212846
E10000034,Worcestershire,Worcestershire,2023-04-01/P1Y,46426,0,0,1655383,1777436,153745,0,76320,43799,501241
