Authority,Location,Period,Count
E06000060,Shared building,2023-11-01/P1M,74179
E06000060,Shared building,2023-12-01/P1M,62828
E06000060,Shared building,2024-01-01/P1M,73689
E06000060,Shared building,2024-02-01/P1M,74135
E06000060,Shared building,2024-03-01/P1M,74800
E06000060,Library,2023-04-01/P1M,14272
E06000060,Library,2023-05-01/P1M,13551
E06000060,Library,2023-06-01/P1M,13259
E06000060,Library,2023-07-01/P1M,15685
E06000060,Library,2023-08-01/P1M,16143
E06000060,Library,2023-09-01/P1M,13260
E06000060,Library,2023-10-01/P1M,15136
E06000060,Library,2023-11-01/P1M,14580
E06000060,Library,2023-12-01/P1M,12808
E06000060,Library,2024-01-01/P1M,15869
E06000060,Library,2024-02-01/P1M,15747
E06000060,Library,2024-03-01/P1M,14783
E06000060,Home delivery,2023-04-01/P1M,669
E06000060,Home delivery,2023-05-01/P1M,760
E06000060,Home delivery,2023-06-01/P1M,676
E06000060,Home delivery,2023-07-01/P1M,705
E06000060,Home delivery,2023-08-01/P1M,704
E06000060,Home delivery,2023-09-01/P1M,668
E06000060,Home delivery,2023-10-01/P1M,677
E06000060,Home delivery,2023-11-01/P1M,708
E06000060,Home delivery,2023-12-01/P1M,721
E06000060,Home delivery,2024-01-01/P1M,777
E06000060,Home delivery,2024-02-01/P1M,636
E06000060,Home delivery,2024-03-01/P1M,618
E08000002,Shared building,2023-03-01/P3M,3485
E08000002,Shared building,2023-06-01/P3M,4359
E08000002,Shared building,2023-09-01/P3M,4042
E08000002,Shared building,2023-12-01/P3M,3461
E08000033,Home delivery,2023-04-01/P1M,1815
E08000033,Home delivery,2023-05-01/P1M,1903
E08000033,Home delivery,2023-06-01/P1M,1557
E08000033,Home delivery,2023-07-01/P1M,1747
E08000033,Home delivery,2023-08-01/P1M,1635
E08000033,Home delivery,2023-09-01/P1M,1648
E08000033,Home delivery,2023-10-01/P1M,1952
E08000033,Home delivery,2023-11-01/P1M,1766
E08000033,Home delivery,2023-12-01/P1M,1316
E08000033,Home delivery,2024-01-01/P1M,1863
E08000033,Home delivery,2024-02-01/P1M,1605
E08000033,Home delivery,2024-03-01/P1M,1538
E10000003,Shared building,2023-04-01/P1M,122455
E10000003,Shared building,2023-05-01/P1M,117432
E10000003,Shared building,2023-06-01/P1M,118378
E10000003,Shared building,2023-07-01/P1M,128906
E10000003,Shared building,2023-08-01/P1M,135770
E10000003,Shared building,2023-09-01/P1M,124576
E10000003,Shared building,2023-10-01/P1M,130451
E10000003,Shared building,2023-11-01/P1M,125961
E10000003,Shared building,2023-12-01/P1M,106647
E10000003,Shared building,2024-01-01/P1M,130673
E10000003,Shared building,2024-02-01/P1M,131637
E10000003,Shared building,2024-03-01/P1M,131286
E10000003,Mobile library,2023-04-01/P1M,1266
E10000003,Mobile library,2023-05-01/P1M,1583
E10000003,Mobile library,2023-06-01/P1M,1819
E10000003,Mobile library,2023-07-01/P1M,1585
E10000003,Mobile library,2023-08-01/P1M,1361
E10000003,Mobile library,2023-09-01/P1M,1863
E10000003,Mobile library,2023-10-01/P1M,1662
E10000003,Mobile library,2023-11-01/P1M,1626
E10000003,Mobile library,2023-12-01/P1M,1189
E10000003,Mobile library,2024-01-01/P1M,1554
E10000003,Mobile library,2024-02-01/P1M,1487
E10000003,Mobile library,2024-03-01/P1M,1524
E06000056,Shared building,2023-04-01/P1M,45954
E06000056,Shared building,2023-05-01/P1M,43762
E06000056,Shared building,2023-06-01/P1M,42661
E06000056,Shared building,2023-07-01/P1M,47579
E06000056,Shared building,2023-08-01/P1M,62021
E06000056,Shared building,2023-09-01/P1M,47248
E06000056,Shared building,2023-10-01/P1M,52103
E06000056,Shared building,2023-11-01/P1M,45610
E06000056,Shared building,2023-12-01/P1M,41459
E06000056,Shared building,2024-01-01/P1M,47004
E06000056,Shared building,2024-02-01/P1M,50308
E06000056,Shared building,2024-03-01/P1M,46421
E06000056,Library,2023-04-01/P1M,12126
E06000056,Library,2023-05-01/P1M,12054
E06000056,Library,2023-06-01/P1M,11399
E06000056,Library,2023-07-01/P1M,13274
E06000056,Library,2023-08-01/P1M,13994
E06000056,Library,2023-09-01/P1M,12137
E06000056,Library,2023-10-01/P1M,16274
