Authority,Format,Content age group,Period,Count
E06000008,Physical audiobook,Adult,2023-07-01/P1M,293
E06000008,Physical audiobook,Adult,2023-08-01/P1M,367
E06000008,Physical audiobook,Adult,2023-09-01/P1M,243
E06000008,Physical audiobook,Adult,2023-10-01/P1M,336
E06000008,Physical audiobook,Adult,2023-11-01/P1M,254
E06000008,Physical audiobook,Adult,2023-12-01/P1M,263
E06000008,Physical audiobook,Adult,2024-01-01/P1M,339
E06000008,Physical audiobook,Adult,2024-02-01/P1M,241
E06000008,Physical audiobook,Adult,2024-03-01/P1M,171
E06000008,Physical audiobook,Under 12,2023-04-01/P1M,21
E06000008,Physical audiobook,Under 12,2023-05-01/P1M,16
E06000008,Physical audiobook,Under 12,2023-06-01/P1M,18
E06000008,Physical audiobook,Under 12,2023-07-01/P1M,30
E06000008,Physical audiobook,Under 12,2023-08-01/P1M,40
E06000008,Physical audiobook,Under 12,2023-09-01/P1M,35
E06000008,Physical audiobook,Under 12,2023-10-01/P1M,18
E06000008,Physical audiobook,Under 12,2023-11-01/P1M,18
E06000008,Physical audiobook,Under 12,2023-12-01/P1M,12
E06000008,Physical audiobook,Under 12,2024-01-01/P1M,22
E06000008,Physical audiobook,Under 12,2024-02-01/P1M,23
E06000008,Physical audiobook,Under 12,2024-03-01/P1M,21
E06000008,Ebook,Adult,2023-04-01/P1M,1067
E06000008,Ebook,Adult,2023-05-01/P1M,1048
E06000008,Ebook,Adult,2023-06-01/P1M,1066
E06000008,Ebook,Adult,2023-07-01/P1M,1196
E06000008,Ebook,Adult,2023-08-01/P1M,1233
E06000008,Ebook,Adult,2023-09-01/P1M,1199
E06000008,Ebook,Adult,2023-10-01/P1M,1259
E06000008,Ebook,Adult,2023-11-01/P1M,1108
E06000008,Ebook,Adult,2023-12-01/P1M,1507
E06000008,Ebook,Adult,2024-01-01/P1M,1223
E06000008,Ebook,Adult,2024-02-01/P1M,114
E06000008,Ebook,Adult,2024-03-01/P1M,1224
E06000008,Ebook,Under 12,2023-04-01/P1M,129
E06000008,Ebook,Under 12,2023-05-01/P1M,160
E06000008,Ebook,Under 12,2023-06-01/P1M,108
E06000008,Ebook,Under 12,2023-07-01/P1M,127
E06000008,Ebook,Under 12,2023-08-01/P1M,154
E06000008,Ebook,Under 12,2023-09-01/P1M,83
E06000008,Ebook,Under 12,2023-10-01/P1M,119
E06000008,Ebook,Under 12,2023-11-01/P1M,110
E06000008,Ebook,Under 12,2023-12-01/P1M,158
E06000008,Ebook,Under 12,2024-01-01/P1M,134
E06000008,Ebook,Under 12,2024-02-01/P1M,138
E06000008,Ebook,Under 12,2024-03-01/P1M,151
E06000008,Ebook,12-17,2023-04-01/P1M,95
E06000008,Ebook,12-17,2023-05-01/P1M,78
E06000008,Ebook,12-17,2023-06-01/P1M,82
E06000008,Ebook,12-17,2023-07-01/P1M,96
E06000008,Ebook,12-17,2023-08-01/P1M,91
E06000008,Ebook,12-17,2023-09-01/P1M,68
E06000008,Ebook,12-17,2023-10-01/P1M,77
E06000008,Ebook,12-17,2023-11-01/P1M,74
E06000008,Ebook,12-17,2023-12-01/P1M,91
E06000008,Ebook,12-17,2024-01-01/P1M,84
E06000008,Ebook,12-17,2024-02-01/P1M,73
E06000008,Ebook,12-17,2024-03-01/P1M,114
E06000008,Eaudio,Adult,2023-04-01/P1M,1267
E06000008,Eaudio,Adult,2023-05-01/P1M,1401
E06000008,Eaudio,Adult,2023-06-01/P1M,1305
E06000008,Eaudio,Adult,2023-07-01/P1M,1406
E06000008,Eaudio,Adult,2023-08-01/P1M,1433
E06000008,Eaudio,Adult,2023-09-01/P1M,1336
E06000008,Eaudio,Adult,2023-10-01/P1M,1368
E06000008,Eaudio,Adult,2023-11-01/P1M,1497
E06000008,Eaudio,Adult,2023-12-01/P1M,1393
E06000008,Eaudio,Adult,2024-01-01/P1M,1569
E06000008,Eaudio,Adult,2024-02-01/P1M,1553
E06000008,Eaudio,Adult,2024-03-01/P1M,1436
E06000008,Eaudio,Under 12,2023-04-01/P1M,149
E06000008,Eaudio,Under 12,2023-05-01/P1M,144
E06000008,Eaudio,Under 12,2023-06-01/P1M,153
E06000008,Eaudio,Under 12,2023-07-01/P1M,153
E06000008,Eaudio,Under 12,2023-08-01/P1M,186
E06000008,Eaudio,Under 12,2023-09-01/P1M,121
E06000008,Eaudio,Under 12,2023-10-01/P1M,115
E06000008,Eaudio,Under 12,2023-11-01/P1M,137
E06000008,Eaudio,Under 12,2023-12-01/P1M,133
E06000008,Eaudio,Under 12,2024-01-01/P1M,154
E06000008,Eaudio,Under 12,2024-02-01/P1M,141
E06000008,Eaudio,Under 12,2024-03-01/P1M,200
E06000008,Eaudio,12-17,2023-04-01/P1M,75
E06000008,Eaudio,12-17,2023-05-01/P1M,94
E06000008,Eaudio,12-17,2023-06-01/P1M,108
E06000008,Eaudio,12-17,2023-07-01/P1M,77
E06000008,Eaudio,12-17,2023-08-01/P1M,101
E06000008,Eaudio,12-17,2023-09-01/P1M,79
E06000008,Eaudio,12-17,2023-10-01/P1M,91
E06000008,Eaudio,12-17,2023-11-01/P1M,78
E06000008,Eaudio,12-17,2023-12-01/P1M,78
E06000008,Eaudio,12-17,2024-01-01/P1M,98
E06000008,Eaudio,12-17,2024-02-01/P1M,78
E06000008,Eaudio,12-17,2024-03-01/P1M,83
E06000009,Physical book,Adult,2023-04-01/P1M,14170
E06000009,Physical book,Adult,2023-05-01/P1M,14148
