Authority code,Authority nice name,Library service,Period,Users,Events,Attendance,Loans,Visits,Computer hours,Wifi sessions,Population under 12,Population 12-17,Population adult,Nearest neighbour 1,Nearest neighbour 2,Nearest neighbour 3,Nearest neighbour 4,Nearest neighbour 5
E06000045,Southampton,Southampton City Council,2023/2024,19790,1635,,,,,,33689,17252,208483,E06000044,E06000023,E06000043,E08000006,E08000035
E09000028,Southwark,Southwark,2023/2024,31382,,,1192121,1501654,117183,478246,36430,19196,259160,E09000019,E09000022,E09000012,E09000013,E06000023
E08000013,St. Helens,St Helens,2023/2024,10171,,21807,305482,271164,,,24301,13307,151253,E08000036,E08000015,E08000034,E08000018,E08000002
E10000028,Staffordshire,Staffordshire,2023/2024,59967,,,1610554,1943485,106759,,112879,61925,732349,E10000034,E06000066,E10000007,E10000018,E06000024
E08000007,Stockport,Stockport,2023/2024,23189,2043,37244,1000552,588419,50439,,42460,22450,239019,E08000009,E08000015,E06000007,E08000002,E06000035
E06000004,Stockton-on-Tees,Stockton-On-Tees,2023/2024,15277,,,363785,394670,33331,,28541,16538,161721,E10000024,E08000036,E06000006,E08000010,E08000024
E06000021,Stoke-on-Trent,Stoke-On-Trent Libraries,2023/2024,16763,,,285632,249503,41550,16552,41194,21326,207905,E08000030,E06000010,E06000015,E08000032,E08000008
E10000029,Suffolk,Suffolk Libraries,2023/2024,,12491,400487,3239746,1817765,129404,35220,97657,54598,633976,E10000020,E10000016,E06000066,E06000059,E06000019
E08000024,Sunderland,Sunderland,2023/2024,6191,912,8320,157263,7010,,,36496,20274,231836,E08000036,E08000023,E06000006,E06000021,E08000008
E10000030,Surrey,Surrey,2023/2024,184421,10481,226700,4625740,2583389,146839,1053219,171156,98183,979310,E06000040,E10000014,E06000037,E06000060,E10000015
E06000030,Swindon,Swindon Library & Information Service,2023/2024,14366,,,393810,270489,23223,,35388,18856,189631,E08000035,E06000062,E06000050,E08000021,E08000022
E08000008,Tameside,Tameside Mbc,2023/2024,14742,1439,57858,445081,436881,49980,,34128,18773,186742,E08000034,E08000016,E08000005,E08000036,E08000030
E06000020,Telford and Wrekin,Telford & Wrekin Libraries,2023/2024,11281,223,2506,197224,,16079,,28447,15801,151704,E10000019,E08000016,E08000008,E10000017,E10000024
E06000034,Thurrock,Thurrock,2023/2024,19420,,,269676,525481,23836,,30700,15571,134718,E09000016,E06000035,E10000012,E08000002,E10000015
E06000027,Torbay,Torbay Council,2023/2024,16278,,,321838,325506,22525,17262,15410,9401,115315,E06000058,E06000033,E08000015,E06000026,E06000046
E09000030,Tower Hamlets,Tower Hamlets,2023/2024,23906,16176,61393,816591,1349109,61550,,42349,20724,268813,E09000028,E09000019,E09000012,E09000022,E08000003
E09000026,Redbridge,Vision Redbridge Culture & Leisure,2023/2024,29207,1789,46971,1481344,1145780,100138,,52135,26036,243060,E09000017,E09000015,E09000010,E09000025,E09000005
E08000036,Wakefield,Wakefield,2023/2024,31187,6418,83225,637394,760411,60049,43958,50917,26564,290185,E08000016,E08000013,E08000024,E08000008,E08000018
E08000030,Walsall,Walsall Libraries,2023/2024,31773,2157,35113,288416,363354,60362,,47135,24664,223879,E08000031,E08000032,E08000008,E08000005,E06000021
E09000032,Wandsworth,Wandsworth Libraries,2023/2024,37353,3649,34350,1432209,1156903,111036,95921,40634,18096,278925,E09000021,E09000011,E09000013,E09000023,E09000029
E06000007,Warrington,Warrington Borough Council (Livewire),2023/2024,16992,2586,26394,241656,467595,9973,,28387,16412,170592,E08000007,E06000035,E06000050,E06000058,E10000015
E10000031,Warwickshire,Warwickshire,2023/2024,58754,2825,17662,1637215,1102667,,237852,84246,45146,502815,E10000003,E10000018,E06000011,E10000032,E10000034
E06000037,West Berkshire,West Berkshire Libraries,2023/2024,14861,98,,523540,311202,13136,,21720,13775,129617,E10000014,E10000030,E10000013,E06000060,E10000025
E10000032,West Sussex,West Sussex Library Service,2023/2024,145312,,86025,1933714,2132816,122506,,116220,65723,733094,E06000054,E10000013,E10000014,E10000020,E10000016
E09000033,Westminster,Westminster,2023/2024,34326,,,683185,1455280,93355,,19681,10153,180162,E09000020,E09000007,E09000013,E09000019,E09000028
E06000064,Westmorland and Furness,Westmorland & Furness,2023/2024,17670,,57546,577728,327359,19820,127784,24441,14712,191032,E06000063,E06000065,E06000057,E10000008,E06000047
E08000010,Wigan,Wigan Local Studies (00073),2023/2024,7961,,,256809,414988,40101,,46723,24974,273225,E06000006,E08000018,E08000013,E08000002,E10000024
E06000054,Wiltshire,Wiltshire,2023/2024,50434,6745,129096,1617323,1296050,52237,,65718,38483,419499,E10000013,E10000032,E10000008,E10000014,E06000066
E08000015,Wirral,Wirral,2023/2024,18152,994,23094,595206,408375,15909,,42083,24140,262650,E08000007,E08000037,E08000002,E08000013,E06000033
E08000031,Wolverhampton,Wolverhampton Libraries & Information,2023/2024,21162,2282,394,508818,439225,36792,157750,44977,23428,212846,E08000030,E08000032,E08000001,E08000028,E08000005
E10000034,Worcestershire,Worcestershire,2023/2024,46426,,,1655383,1777436,153745,,76320,43799,501241,E10000028,E06000066,E10000032,E06000050,E10000018
E06000003,Redcar and Cleveland,Redcar and Cleveland Borough Council,2023-04-01/P1Y,,,,,,,,17455,10044,111729,E08000016,E08000037,E06000001,E06000005,E08000036
E06000026,Plymouth,Plymouth City Council,2023-04-01/P1Y,,,,,,,,33389,18724,219954,E08000022,E06000006,E08000008,E06000010,E06000012
E06000033,Southend-on-Sea,Southend-on-Sea Borough Council,2023-04-01/P1Y,,,,,,,,25687,13924,145645,E06000058,E08000015,E06000035,E08000007,E06000044
E06000035,Medway,Medway Council,2023-04-01/P1Y,,,,,,,,45354,23420,223881,E06000033,E08000035,E06000007,E10000012,E08000015
E06000039,Slough,Slough Borough Council,2023-04-01/P1Y,,,,,,,,30769,15917,120673,E09000018,E06000030,E08000026,E06000032,E09000008
E06000041,Wokingham,Wokingham Borough Council,2023-04-01/P1Y,,,,,,,,27779,16633,142788,E10000030,E06000040,E10000025,E06000060,E06000025
E06000042,Milton Keynes,Milton Keynes Council,2023-04-01/P1Y,,,,,,,,48251,26318,231315,E06000030,E06000036,E08000035,E08000009,E06000038
E06000043,Brighton and Hove,Brighton and Hove City Council,2023-04-01/P1Y,,,,,,,,28829,17783,237258,E06000023,E06000045,E06000044,E06000058,E06000014
E06000047,County Durham,Durham County Council,2023-04-01/P1Y,,,,,,,,63809,36623,437579,E10000017,E06000063,E06000057,E10000007,E08000019
E06000049,Cheshire East,Cheshire East Council,2023-04-01/P1Y,,,,,,,,53713,29328,338257,E06000025,E10000025,E10000014,E10000013,E06000024
E06000053,Isles of Scilly,Council of the Isles of Scilly,2023-04-01/P1Y,,,,,,,,233,86,2047,E06000046,E06000052,E06000059,E06000014,E06000022
E06000055,Bedford,Bedford Borough Council,2023-04-01/P1Y,,,,,,,,29020,15463,150493,E10000016,E10000018,E10000032,E10000012,E10000015
