Authority,Event type,Age group,Month,Count
"Bournemouth, Christchurch and Poole",Physical,12-17,2023-08,
"Bournemouth, Christchurch and Poole",Physical,12-17,2023-09,
"Bournemouth, Christchurch and Poole",Physical,12-17,2023-10,
"Bournemouth, Christchurch and Poole",Physical,12-17,2023-11,
"Bournemouth, Christchurch and Poole",Physical,12-17,2023-12,
"Bournemouth, Christchurch and Poole",Physical,12-17,2024-01,
"Bournemouth, Christchurch and Poole",Physical,12-17,2024-02,
"Bournemouth, Christchurch and Poole",Physical,12-17,2024-03,
"Bournemouth, Christchurch and Poole",Physical,All Ages,2023-04,
"Bournemouth, Christchurch and Poole",Physical,All Ages,2023-05,
"Bournemouth, Christchurch and Poole",Physical,All Ages,2023-06,
"Bournemouth, Christchurch and Poole",Physical,All Ages,2023-07,
"Bournemouth, Christchurch and Poole",Physical,All Ages,2023-08,
