Authority,Period,Age group,Count
E06000044,2023-04-01/P1Y,Under 12,5056
E06000044,2023-04-01/P1Y,Adult,9256
E06000044,2023-04-01/P1Y,12-17,574
E06000038,2023-04-01/P1Y,Unknown,12938
E08000005,2023-04-01/P1Y,Under 12,5688
E08000005,2023-04-01/P1Y,Adult,6893
E08000005,2023-04-01/P1Y,12-17,400
E08000018,2023-04-01/P1Y,Unknown,15008
E06000040,2023-04-01/P1Y,Unknown,16024
E06000017,2023-04-01/P1Y,Under 12,1281
E06000017,2023-04-01/P1Y,Adult,4031
E06000017,2023-04-01/P1Y,12-17,252
E08000006,2023-04-01/P1Y,Unknown,19049
E08000028,2023-04-01/P1Y,Under 12,6812
E08000028,2023-04-01/P1Y,Adult,9192
E08000028,2023-04-01/P1Y,12-17,2782
E08000014,2023-04-01/P1Y,Under 12,8665
E08000014,2023-04-01/P1Y,Adult,23080
E08000014,2023-04-01/P1Y,12-17,4259
E08000019,2023-04-01/P1Y,Unknown,66280
E06000051,2023-04-01/P1Y,Unknown,35900
E08000029,2023-04-01/P1Y,Unknown,16539
E06000066,2023-04-01/P1Y,Under 12,18251
E06000066,2023-04-01/P1Y,Adult,49728
E06000066,2023-04-01/P1Y,12-17,2499
E06000025,2023-04-01/P1Y,Under 12,20126
E06000025,2023-04-01/P1Y,Adult,23972
E06000025,2023-04-01/P1Y,12-17,1628
E08000023,2023-04-01/P1Y,Under 12,4295
E08000023,2023-04-01/P1Y,Adult,6893
E08000023,2023-04-01/P1Y,12-17,302
E06000045,2023-04-01/P1Y,Unknown,19790
E09000028,2023-04-01/P1Y,Unknown,31382
E08000013,2023-04-01/P1Y,Under 12,3696
E08000013,2023-04-01/P1Y,Adult,5990
E08000013,2023-04-01/P1Y,12-17,485
E10000028,2023-04-01/P1Y,Under 12,17369
E10000028,2023-04-01/P1Y,Adult,34042
E10000028,2023-04-01/P1Y,12-17,8556
E08000007,2023-04-01/P1Y,Unknown,23189
E06000004,2023-04-01/P1Y,Under 12,4796
E06000004,2023-04-01/P1Y,Adult,10145
E06000004,2023-04-01/P1Y,12-17,336
E06000021,2023-04-01/P1Y,Under 12,4255
E06000021,2023-04-01/P1Y,Adult,10153
E06000021,2023-04-01/P1Y,12-17,2355
E08000024,2023-04-01/P1Y,Unknown,6191
E10000030,2023-04-01/P1Y,Under 12,45848
E10000030,2023-04-01/P1Y,Adult,127083
E10000030,2023-04-01/P1Y,12-17,11490
E06000030,2023-04-01/P1Y,Under 12,4710
E06000030,2023-04-01/P1Y,Adult,8154
E06000030,2023-04-01/P1Y,12-17,1502
E08000008,2023-04-01/P1Y,Unknown,14742
E06000020,2023-04-01/P1Y,Unknown,11281
E06000034,2023-04-01/P1Y,Under 12,6033
E06000034,2023-04-01/P1Y,Adult,11548
E06000034,2023-04-01/P1Y,12-17,1839
E06000027,2023-04-01/P1Y,Under 12,3421
E06000027,2023-04-01/P1Y,Adult,11733
E06000027,2023-04-01/P1Y,12-17,1124
E09000030,2023-04-01/P1Y,Under 12,6129
E09000030,2023-04-01/P1Y,Adult,14667
E09000030,2023-04-01/P1Y,12-17,3110
E09000026,2023-04-01/P1Y,Under 12,10277
E09000026,2023-04-01/P1Y,Adult,14729
E09000026,2023-04-01/P1Y,12-17,4201
E08000036,2023-04-01/P1Y,Under 12,6086
E08000036,2023-04-01/P1Y,Adult,22275
E08000036,2023-04-01/P1Y,12-17,2826
E08000030,2023-04-01/P1Y,Under 12,10846
E08000030,2023-04-01/P1Y,Adult,18496
E08000030,2023-04-01/P1Y,12-17,2431
E09000032,2023-04-01/P1Y,Under 12,11432
E09000032,2023-04-01/P1Y,Adult,22252
E09000032,2023-04-01/P1Y,12-17,3669
E06000007,2023-04-01/P1Y,Unknown,16992
E10000031,2023-04-01/P1Y,Unknown,58754
E06000037,2023-04-01/P1Y,Under 12,4744
E06000037,2023-04-01/P1Y,Adult,8745
E06000037,2023-04-01/P1Y,12-17,1372
E10000032,2023-04-01/P1Y,Under 12,46932
E10000032,2023-04-01/P1Y,Adult,93575
E10000032,2023-04-01/P1Y,12-17,4805
E09000033,2023-04-01/P1Y,Under 12,4893
E09000033,2023-04-01/P1Y,Adult,26738
E09000033,2023-04-01/P1Y,12-17,2695
E06000064,2023-04-01/P1Y,Unknown,17670
E08000010,2023-04-01/P1Y,Unknown,7961
E06000054,2023-04-01/P1Y,Under 12,18194
E06000054,2023-04-01/P1Y,Adult,29579
E06000054,2023-04-01/P1Y,12-17,2661
E08000015,2023-04-01/P1Y,Under 12,6571
E08000015,2023-04-01/P1Y,Adult,10557
E08000015,2023-04-01/P1Y,12-17,1024
E08000031,2023-04-01/P1Y,Under 12,7102
E08000031,2023-04-01/P1Y,Adult,12624
E08000031,2023-04-01/P1Y,12-17,1436
E10000034,2023-04-01/P1Y,Under 12,11025
E10000034,2023-04-01/P1Y,Adult,33259
E10000034,2023-04-01/P1Y,12-17,2142
